time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-07-22T00:32:51.880Z,38.8408318,-122.8799973,2.47,0.59,md,9,107,0.008923,0.02,nc,nc72261896,2014-07-22T00:54:13.410Z,"12km ENE of Cloverdale, California",earthquake
2014-07-22T00:12:09.300Z,37.6568,-118.8573,5.7,1.4,Md,16,108,0.02694946,0.04,nc,nc72261891,2014-07-22T00:43:06.142Z,"10km E of Mammoth Lakes, California",earthquake
2014-07-22T00:11:01.700Z,38.8362,-122.7745,2.3,0.9,Md,11,72,0.00898315,0.02,nc,nc72261886,2014-07-22T00:27:08.934Z,"4km WNW of Cobb, California",earthquake
2014-07-22T00:02:41.000Z,63.4493,-147.5606,28.2,1,ml,,,,0.86,ak,ak11333993,2014-07-22T00:26:24.532Z,"69km E of Cantwell, Alaska",earthquake
2014-07-21T23:52:27.790Z,39.0273,-118.3728,0.44,1.75,ml,13,137.21,0.22,,nn,nn00452724,2014-07-21T23:55:32.331Z,"42km WNW of Gabbs, Nevada",earthquake
2014-07-21T23:49:47.510Z,33.8935,-117.1158333,14.36,0.94,ml,18,60,0.03789,0.32,ci,ci37249232,2014-07-21T23:54:07.600Z,"6km N of Lakeview, California",earthquake
2014-07-21T23:39:24.330Z,33.4581667,-116.3545,24.46,0.53,ml,11,215,0.1587,0.37,ci,ci37249224,2014-07-21T23:43:44.310Z,"22km N of Borrego Springs, California",earthquake
2014-07-21T23:37:12.640Z,38.8219986,-122.8036652,3.39,0.43,md,7,128,0.005197,0.01,nc,nc72261876,2014-07-22T00:08:05.802Z,"6km NW of The Geysers, California",earthquake
2014-07-21T23:29:32.900Z,38.7605,-122.7737,9.3,1,Md,7,158.4,0.00898315,0.04,nc,nc72261871,2014-07-21T23:51:03.936Z,"2km SW of The Geysers, California",earthquake
2014-07-21T23:23:31.010Z,34.1431667,-117.5885,8.74,1.32,ml,33,52,0.04684,0.27,ci,ci37249208,2014-07-21T23:28:32.270Z,"4km N of Rancho Cucamonga, California",earthquake
2014-07-21T22:54:55.000Z,60.347,-140.2911,0.6,2.1,ml,,,,0.69,ak,ak11333854,2014-07-21T23:32:33.678Z,"94km NNW of Yakutat, Alaska",earthquake
2014-07-21T22:50:54.000Z,62.916,-149.1963,78.4,1.2,ml,,,,0.21,ak,ak11333849,2014-07-21T23:32:26.888Z,"54km SSW of Cantwell, Alaska",earthquake
2014-07-21T22:50:47.000Z,59.5759,-151.9564,31.7,1.5,ml,,,,0.37,ak,ak11333848,2014-07-21T23:32:28.738Z,"23km SSW of Anchor Point, Alaska",earthquake
2014-07-21T22:44:23.000Z,62.9402,-148.5828,4.4,1.4,ml,,,,0.7,ak,ak11333843,2014-07-21T23:32:27.780Z,"53km SSE of Cantwell, Alaska",earthquake
2014-07-21T22:41:15.800Z,38.8322,-122.8098,2.6,0.4,Md,7,133.2,0.00898315,0.02,nc,nc72261826,2014-07-21T23:05:14.060Z,"7km W of Cobb, California",earthquake
2014-07-21T22:41:10.600Z,46.8408,-121.7443,1.5,1.2,Md,,97.2,0.00898315,0.06,uw,uw60823932,2014-07-21T23:27:51.894Z,"26km NNW of Packwood, Washington",earthquake
2014-07-21T22:31:10.000Z,62.2915,-149.7867,0,1.4,ml,,,,0.54,ak,ak11333810,2014-07-21T23:05:24.192Z,"14km NNE of Y, Alaska",earthquake
2014-07-21T22:30:54.720Z,32.5733333,-116.9973333,2.95,1.41,ml,13,186,0.06618,0.16,ci,ci37249192,2014-07-21T22:34:42.410Z,"4km NNE of Tijuana, Mexico",earthquake
2014-07-21T22:26:45.000Z,63.531,-147.4207,0.1,1.1,ml,,,,0.76,ak,ak11333808,2014-07-21T23:05:22.682Z,"77km ENE of Cantwell, Alaska",earthquake
2014-07-21T22:15:44.180Z,32.912,-116.2405,9.54,0.72,ml,8,102,0.01059,0.24,ci,ci37249184,2014-07-21T22:20:16.380Z,"28km ENE of Pine Valley, California",earthquake
2014-07-21T22:04:19.000Z,51.9052,178.2922,119.5,2.7,ml,,,,0.42,ak,ak11333795,2014-07-21T23:06:09.896Z,"15km WSW of Little Sitkin Island, Alaska",earthquake
2014-07-21T21:54:19.000Z,62.4878,-145.5886,45.6,2.1,ml,,,,1.15,ak,ak11333790,2014-07-21T22:36:55.127Z,"42km N of Glennallen, Alaska",earthquake
2014-07-21T21:52:46.100Z,35.9953,-120.5583,1.8,1.5,Md,20,72,0.02694946,0.08,nc,nc72261801,2014-07-22T00:44:06.308Z,"23km SW of Coalinga, California",earthquake
2014-07-21T21:52:36.300Z,37.9847,-122.0472,16.3,2.5,Md,49,72,0.04491576,0.11,nc,nc72261796,2014-07-22T00:25:26.480Z,"1km WNW of Concord, California",earthquake
2014-07-21T21:50:17.200Z,38.8193,-122.7818,1.8,1.6,Md,27,39.6,0.01796631,0.04,nc,nc72261791,2014-07-21T22:48:07.171Z,"5km W of Cobb, California",earthquake
2014-07-21T21:27:46.600Z,18.7695,-64.363,24,2.9,Md,5,309.6,0.69619435,0.07,pr,pr14202003,2014-07-21T21:42:40.398Z,"47km NE of Road Town, British Virgin Islands",earthquake
2014-07-21T21:26:41.460Z,36.5600014,-121.064003,8.89,1.6,md,12,119,0.02697,0.09,nc,nc72261781,2014-07-22T00:43:06.143Z,"27km ENE of Soledad, California",earthquake
2014-07-21T21:20:37.990Z,38.8268318,-122.8294983,2.85,0.94,md,13,58,0.005695,0.02,nc,nc72261776,2014-07-21T21:55:06.333Z,"8km NW of The Geysers, California",earthquake
2014-07-21T21:17:57.000Z,60.6899,-151.8361,76.8,1,ml,,,,0.1,ak,ak11333784,2014-07-21T21:41:46.662Z,"29km W of Nikiski, Alaska",earthquake
2014-07-21T21:06:18.000Z,60.1739,-141.2372,0,1.3,ml,,,,0.85,ak,ak11333778,2014-07-21T21:41:48.763Z,"67km E of Cape Yakataga, Alaska",earthquake
2014-07-21T21:05:25.400Z,35.9965,-120.553,2.4,1.4,Md,10,86.4,0.01796631,0.02,nc,nc72261771,2014-07-21T21:43:04.974Z,"23km SW of Coalinga, California",earthquake
2014-07-21T21:02:52.000Z,63.7624,-149.1809,94.1,1.6,ml,,,,0.77,ak,ak11333773,2014-07-21T21:41:47.579Z,"14km SW of Healy, Alaska",earthquake
2014-07-21T20:59:50.000Z,60.2594,-141.6059,1.1,1.1,ml,,,,0.65,ak,ak11333770,2014-07-21T21:20:21.817Z,"50km ENE of Cape Yakataga, Alaska",earthquake
2014-07-21T20:56:08.000Z,65.1463,-149.0389,8.7,1,ml,,,,0.77,ak,ak11333743,2014-07-21T21:20:26.447Z,"58km NW of Ester, Alaska",earthquake
2014-07-21T20:50:33.000Z,51.2701,-174.874,25.6,2.4,ml,,,,0.66,ak,ak11333736,2014-07-21T23:05:10.112Z,"113km SSW of Atka, Alaska",earthquake
2014-07-21T20:39:48.000Z,51.28,-174.9336,33.8,4.1,ml,,,,0.52,ak,ak11333725,2014-07-21T23:05:35.245Z,"113km SSW of Atka, Alaska",earthquake
2014-07-21T20:35:55.000Z,51.3,-174.933,39,3.8,ml,,,,0.49,ak,ak11333715,2014-07-21T23:05:53.535Z,"111km SSW of Atka, Alaska",earthquake
2014-07-21T20:35:34.000Z,61.5332,-146.3432,35.3,1.2,ml,,,,1.01,ak,ak11333714,2014-07-21T21:20:23.765Z,"44km N of Valdez, Alaska",earthquake
2014-07-21T20:28:34.460Z,33.6885,-118.2256667,0,2.08,ml,20,278,0.1924,0.54,ci,ci37249144,2014-07-21T22:37:51.833Z,"8km SE of San Pedro, California",earthquake
2014-07-21T19:47:28.000Z,57.4681,-154.4461,100,2.5,ml,,,,0.96,ak,ak11333674,2014-07-21T20:27:25.782Z,"29km WSW of Larsen Bay, Alaska",earthquake
2014-07-21T19:37:33.000Z,51.3047,-174.932,25.6,4.2,ml,,,,0.38,ak,ak11333803,2014-07-21T22:37:31.810Z,"111km SSW of Atka, Alaska",earthquake
2014-07-21T19:36:43.860Z,51.2819,-174.9341,10,4.8,mb,,77,1.028,0.72,us,usb000rv9m,2014-07-21T22:36:53.711Z,"113km SSW of Atka, Alaska",earthquake
2014-07-21T19:31:49.940Z,38.7903328,-122.7626648,1.92,0.47,md,8,80,0.01973,0.01,nc,nc72261741,2014-07-21T19:33:26.320Z,"1km NNW of The Geysers, California",earthquake
